idx,count_00_00_00,count_00_30_00,count_01_00_00,count_01_30_00,count_02_00_00,count_02_30_00,count_03_00_00,count_04_00_00,h3id,point,poly
20,42.0,42,40.0,32.0,31.0,26.0,26.0,22.0,892f5a32183ffff,POINT(139.816522445389 35.6942297946762),"POLYGON((139.818508866081 35.6937559779272, 139.817944332354 35.6955107560765, 139.815957875439 35.6959845414587, 139.81453604893 35.6947035673828, 139.815100632554 35.692948842191, 139.817086992793 35.692475038118, 139.818508866081 35.6937559779272))"
21,46.0,46,45.0,39.0,39.0,34.0,34.0,23.0,892f5a32187ffff,POINT(139.813114296549 35.6934226022241),"POLYGON((139.815100632554 35.692948842191, 139.81453604893 35.6947035673828, 139.812549676708 35.6951772960479, 139.811127984784 35.6938963182182, 139.811692618291 35.6921416459865, 139.813678893843 35.6916678986247, 139.815100632554 35.692948842191))"
22,5.0,5,5.0,,,,,,892f5a3218bffff,POINT(139.817379776079 35.6972655244481),"POLYGON((139.819366293451 35.6967917263879, 139.818801750855 35.698546516347, 139.816815197257 35.6990202830383, 139.815393282941 35.6977392784618, 139.815957875439 35.6959845414587, 139.817944332354 35.6955107560765, 139.819366293451 35.6967917263879))"
23,32.0,32,31.0,23.0,23.0,21.0,21.0,18.0,892f5a3218fffff,POINT(139.813971442759 35.696458282797),"POLYGON((139.815957875439 35.6959845414587, 139.815393282941 35.6977392784618, 139.81340681404 35.6982129884299, 139.811985034319 35.6969319800922, 139.812549676708 35.6951772960479, 139.81453604893 35.6947035673828, 139.815957875439 35.6959845414587))"
24,6.0,6,6.0,6.0,6.0,5.0,5.0,,892f5a321bbffff,POINT(139.810563328728 35.6956509806725),"POLYGON((139.812549676708 35.6951772960479, 139.811985034319 35.6969319800922, 139.809998650123 35.6974056333455, 139.808577004994 35.6961246212576, 139.809141697262 35.6943699901745, 139.811127984784 35.6938963182182, 139.812549676708 35.6951772960479))"
25,18.0,18,17.0,13.0,12.0,9.0,8.0,7.0,892f5a321d3ffff,POINT(139.824197100573 35.6988798262531),"POLYGON((139.826183787306 35.698405914724, 139.825619344551 35.7001608105873, 139.82363262158 35.7006346907501, 139.82221043806 35.6993536937285, 139.822774930741 35.697598850816, 139.824761557019 35.6971249519745, 139.826183787306 35.698405914724))"
26,5.0,5,5.0,,,,,,892f5a3224bffff,POINT(139.848141804687 35.7385432897343),"POLYGON((139.850129991204 35.7380693750067, 139.849565642419 35.7398246235455, 139.847577419593 35.7402985068866, 139.846153642368 35.7390171603452, 139.846718041206 35.7372619647294, 139.848706167218 35.7367880627323, 139.850129991204 35.7380693750067))"
27,7.0,7,7.0,6.0,6.0,,,5.0,892f5a323bbffff,POINT(139.81656427093 35.7169015841526),"POLYGON((139.81855129584 35.7164280304377, 139.817986591312 35.718182796914, 139.815999530158 35.7186563192429, 139.814577270268 35.7173750937996, 139.815142024722 35.7156203802744, 139.817128989142 35.7151468392416, 139.81855129584 35.7164280304377))"
28,5.0,5,5.0,5.0,,,,,892f5a3249bffff,POINT(139.861652507195 35.6850763325223),"POLYGON((139.863639520321 35.6846015338538, 139.86307579782 35.6863570232773, 139.861088748418 35.6868317906128, 139.859665518203 35.685551087124, 139.860229290727 35.6837956506288, 139.862216243445 35.6833208646943, 139.863639520321 35.6846015338538))"
29,5.0,5,,,,,,,892f5a3250fffff,POINT(139.827583501095 35.6883504339888),"POLYGON((139.82956997042 35.6878763342999, 139.829005662921 35.6896312887857, 139.827019157363 35.6901053571192, 139.825597055975 35.6888244896333, 139.826161413397 35.6870695880988, 139.828147822287 35.6865955010991, 139.82956997042 35.6878763342999))"
30,6.0,6,6.0,,,,,,892f5a32563ffff,POINT(139.825890402277 35.6936151740876),"POLYGON((139.827876980302 35.6931411684704, 139.82731260518 35.6948960936618, 139.82532599092 35.6953700679181, 139.823903848465 35.6940891356558, 139.824468273511 35.6923342634155, 139.826454791091 35.6918602704867, 139.827876980302 35.6931411684704))"
31,14.0,14,14.0,9.0,9.0,6.0,6.0,6.0,892f5a3256bffff,POINT(139.826748207515 35.6966510090809),"POLYGON((139.828734882225 35.6961770221343, 139.828170498255 35.6979319591403, 139.826183787306 35.698405914724, 139.824761557019 35.6971249519745, 139.82532599092 35.6953700679181, 139.82731260518 35.6948960936618, 139.828734882225 35.6961770221343))"
32,25.0,25,23.0,19.0,19.0,17.0,17.0,14.0,892f5a3260bffff,POINT(139.860875991387 35.7160569107375),"POLYGON((139.862863814747 35.7155824872139, 139.862299845532 35.7173379477643, 139.860311985867 35.7178123399279, 139.858888192185 35.7165312901599, 139.859452211461 35.7147758825299, 139.861439974362 35.7143014717477, 139.862863814747 35.7155824872139))"
33,18.0,18,18.0,15.0,15.0,12.0,12.0,8.0,892f5a3260fffff,POINT(139.85746447272 35.7152502492135),"POLYGON((139.859452211461 35.7147758825299, 139.858888192185 35.7165312901599, 139.856900417143 35.7170056254823, 139.855476758141 35.7157245717994, 139.856040827468 35.7139692170923, 139.85802850575 35.7134948631454, 139.859452211461 35.7147758825299))"
34,11.0,11,10.0,8.0,8.0,7.0,7.0,6.0,892f5a32673ffff,POINT(139.858324150362 35.7182866879888),"POLYGON((139.860311985867 35.7178123399279, 139.859747957801 35.7195677593152, 139.857760085992 35.7200420760128, 139.85633633902 35.7187609919481, 139.856900417143 35.7170056254823, 139.858888192185 35.7165312901599, 139.860311985867 35.7178123399279))"
35,102.0,102,102.0,87.0,87.0,80.0,79.0,66.0,892f5a32813ffff,POINT(139.773117157319 35.7094320078552),"POLYGON((139.775103176739 35.7089592099905, 139.774537815112 35.7107132996568, 139.772551759515 35.711186066117, 139.77113116223 35.7099047616938, 139.771696573639 35.708150725011, 139.773682532554 35.7076779397683, 139.775103176739 35.7089592099905))"
36,63.0,63,60.0,49.0,48.0,40.0,40.0,27.0,892f5a32817ffff,POINT(139.769710639057 35.7086234662303),"POLYGON((139.771696573639 35.708150725011, 139.77113116223 35.7099047616938, 139.769145191476 35.7103774715073, 139.767724728812 35.709096163427, 139.768290189992 35.7073421797303, 139.770276064068 35.7068694511282, 139.771696573639 35.708150725011))"
37,6.0,6,6.0,5.0,5.0,,,,892f5a32887ffff,POINT(139.771406846384 35.7033613914641),"POLYGON((139.773392672456 35.7028885560387, 139.772827328751 35.7046426221798, 139.77084146651 35.7051154262049, 139.769421044643 35.7038341828715, 139.769986438117 35.7020801697168, 139.771972203693 35.7016073469094, 139.773392672456 35.7028885560387))"
38,19.0,19,19.0,19.0,19.0,19.0,18.0,17.0,892f5a3288bffff,POINT(139.775668515796 35.707205110501),"POLYGON((139.777654523363 35.7067322372083, 139.777089220484 35.7084863680988, 139.775103176739 35.7089592099905, 139.773682532554 35.7076779397683, 139.77424788522 35.7059238618601, 139.776233832287 35.705451001192, 139.777654523363 35.7067322372083))"
39,24.0,24,23.0,18.0,18.0,17.0,16.0,12.0,892f5a3288fffff,POINT(139.772261962479 35.7063966785051),"POLYGON((139.77424788522 35.7059238618601, 139.773682532554 35.7076779397683, 139.771696573639 35.708150725011, 139.770276064068 35.7068694511282, 139.77084146651 35.7051154262049, 139.772827328751 35.7046426221798, 139.77424788522 35.7059238618601))"
40,28.0,28,28.0,25.0,25.0,23.0,22.0,21.0,892f5a328c7ffff,POINT(139.776523895038 35.710240489168),"POLYGON((139.778509999288 35.7097676346496, 139.777944687455 35.7115217772967, 139.775958547022 35.711994600412, 139.774537815112 35.7107132996568, 139.775103176739 35.7089592099905, 139.777089220484 35.7084863680988, 139.778509999288 35.7097676346496))"
41,14.0,14,14.0,12.0,12.0,11.0,11.0,10.0,892f5a328cfffff,POINT(139.777379353054 35.7132759101168),"POLYGON((139.779365553995 35.7128030743729, 139.77880023321 35.7145572287675, 139.776813996082 35.7150300331061, 139.775393176437 35.713748701827, 139.775958547022 35.711994600412, 139.777944687455 35.7115217772967, 139.779365553995 35.7128030743729))"
42,6.0,6,6.0,,,,,,892f5a328dbffff,POINT(139.783338028834 35.7118572707802),"POLYGON((139.785324302722 35.7113843029293, 139.784759090513 35.7131385515305, 139.78277278043 35.7136114879807, 139.781351779256 35.7123301945944, 139.781917041283 35.7105759989689, 139.78390325467 35.7101030437543, 139.785324302722 35.7113843029293))"
43,7.0,7,6.0,6.0,6.0,5.0,5.0,5.0,892f5a3298bffff,POINT(139.751827250927 35.7015448209318),"POLYGON((139.753812664562 35.7010723439982, 139.753247013415 35.702826103958, 139.751261563639 35.7032985494818, 139.74984186166 35.7020172538646, 139.750407562513 35.7002635469053, 139.752392915643 35.6997910825629, 139.753812664562 35.7010723439982))"
44,5.0,5,5.0,,,,,,892f5a3299bffff,POINT(139.754378293139 35.6993185742213),"POLYGON((139.756363694996 35.6988460218795, 139.755798102562 35.7005998230628, 139.753812664562 35.7010723439982, 139.752392915643 35.6997910825629, 139.752958557789 35.6980373343788, 139.754943899146 35.6975647946311, 139.756363694996 35.6988460218795))"
45,6.0,6,6.0,,,,,,892f5a329a3ffff,POINT(139.741612857793 35.699118079412),"POLYGON((139.743598016778 35.6986457722218, 139.743032216547 35.7003993731725, 139.741047021438 35.7008716489492, 139.739627723196 35.6995903426121, 139.740193573098 35.6978367946696, 139.742178671575 35.6973645000562, 139.743598016778 35.6986457722218))"
46,14.0,14,14.0,12.0,12.0,11.0,11.0,6.0,892f5a329abffff,POINT(139.742466393743 35.7021529643027),"POLYGON((139.744451649365 35.7016806759471, 139.743885840114 35.7034342886687, 139.741900548364 35.7039065456086, 139.740481162509 35.702625208664, 139.741047021438 35.7008716489492, 139.743032216547 35.7003993731725, 139.744451649365 35.7016806759471))"
